setting,fnA_prec,fnA_rec,fnA_f1,fnB_prec,fnB_rec,fnB_f1,fnC_prec,fnC_rec,fnC_f1,resp_prec,resp_rec,resp_f1,mal_prec,mal_rec,mal_f1,memb_prec,memb_rec,memb_f1
11,0.4157738095238095,0.1452305735200472,0.233426858756746,0.28399581939799334,0.34386227807280434,0.3085710454625111,0.4157738095238095,0.1452305735200472,0.233426858756746,0.2344757727652465,0.06927857011887953,0.14749093381224393,0.24238095238095236,0.1294634776987718,0.20169807953166274,0.5375,0.20459956709956711,0.45088060088060095
12,0.4170454545454546,0.14609299764562922,0.235208445160136,0.3118398629234543,0.32909116995387017,0.3181483529954266,0.4375000000000001,0.14609299764562922,0.23857544852713936,0.45723732407942935,0.09300725818659297,0.16810075606574656,0.5015651015651016,0.13232183486702395,0.22772264662508565,0.8538961038961038,0.24586161572811377,0.39401268203100737
13,0.23047619047619045,0.07669172932330827,0.18221970524602105,0.11923507571333658,0.22980703507019293,0.15485029072944673,0.23047619047619045,0.07669172932330827,0.18221970524602105,0.0,0.0,,0.02,0.007142857142857143,0.10526315789473682,0.0,0.0,
14,0.20249999999999999,0.08011617467499821,0.16244679690057842,0.15321688563568428,0.2476548288312994,0.18764442889812655,0.20249999999999999,0.08011617467499821,0.16244679690057842,0.04916666666666667,0.007321428571428571,0.042172112287160606,0.13333333333333336,0.024507389162561573,0.08270944741532976,0.21428571428571427,0.04489337822671156,0.3151515151515151
15,0.39747474747474754,0.15305738734642704,0.21530287070332835,0.213629375848513,0.28976390250989786,0.2430921653643079,0.41111111111111115,0.14997856961243689,0.21294992952685776,0.14611111111111114,0.0333370756482224,0.0878713606654783,0.12916666666666668,0.04904761904761904,0.1163592446201142,0.08333333333333333,0.037037037037037035,0.4
16,0.3210989010989011,0.13239784437455726,0.25301698507952525,0.24160059336375128,0.3061984350844561,0.265452351599768,0.3210989010989011,0.13239784437455726,0.25301698507952525,0.2197802197802198,0.04192060672573853,0.09782118348632943,0.20083333333333334,0.041428571428571426,0.09655530157021076,0.45,0.11178451178451179,0.4285714285714286
17,0.23081838451403672,0.1722466989494853,0.1914855985749815,0.1918794573712904,0.30483911513323275,0.23493360081353476,0.3047222222222222,0.14952740070387127,0.19928918729376394,0.13041738200656608,0.08120879120879121,0.1592641351569923,0.2525407762172468,0.20954968944099378,0.2823457458338843,0.2738979411393205,0.17751140436624308,0.2532277769690947
18,0.26641025641025645,0.22374389499389502,0.23563870236696322,0.22286067887487765,0.3536196401637578,0.266515257747321,0.2961904761904762,0.15381275587157942,0.2077553080825638,0.35842213342213347,0.17657720769900012,0.2928305024879684,0.5738904683058672,0.29569069828938255,0.3865288272136552,0.3538391483927477,0.34666658749589646,0.2980136550145405
19,0.34835252982311804,0.20229415490857136,0.2536937914132213,0.2757533419324333,0.3170276701855649,0.2915171522070191,0.37496031746031744,0.1334734563681932,0.19447927889104358,0.4070706145706146,0.22623375290336808,0.2856759048657443,0.4490750915750915,0.3472797517763193,0.38757699791711014,0.2563746128532714,0.25775857163181104,0.27652934975625393
20,0.3802737613263929,0.2048687423687424,0.292434568841906,0.2930425414312883,0.30242491159804086,0.2938018177720386,0.5163888888888889,0.1382782598420747,0.23744700418072068,0.41581777767605904,0.16897528296620162,0.26442020848944364,0.6103711948970569,0.32779449495786206,0.4223770170018195,0.48319090059501624,0.3183620242912161,0.3985901129521928
