setting,run,query_time,time_sim,fnA,fnA_prec,fnA_rec,fnB_prec,fnB_rec,fnC_prec,fnC_rec,fnA_tp,fnA_fp,fnA_tn,fnA_fn,fnB_tp,fnB_fp,fnB_tn,fnB_fn,fnC_tp,fnC_fp,fnC_tn,fnC_fn,resp,resp_prec,resp_rec,resp_tp,resp_fp,resp_tn,resp_fn,mal,mal_prec,mal_rec,mal_tp,mal_fp,mal_tn,mal_fn,memb,memb_prec,memb_rec,memb_tp,memb_fp,memb_tn,memb_fn
1,3,0:00:09.062091,14,0,0.2222222222222222,0.14285714285714285,0.25806451612903225,0.5714285714285714,0.3333333333333333,0.14285714285714285,0,0,6,3,2,1,5,1,0,0,6,3,0,0.2727272727272727,0.16666666666666666,0,0,17,4,3,0.2727272727272727,0.1875,3,0,2,0,6,0.75,0.14285714285714285,6,0,598,0
1,4,0:00:08.544481,0,0,,,,,,,0,0,9,0,0,1,8,0,0,0,9,0,0,,,0,0,15,0,0,,,0,0,7,8,0,,,0,0,224,1
1,4,0:00:08.650880,1,0,,,,,,,0,0,6,0,0,1,5,0,0,0,6,0,0,,,0,0,10,0,0,,,0,0,5,0,0,,,0,0,75,0
1,4,0:00:08.276057,2,0,,,,,,,0,0,7,0,0,1,6,0,0,0,7,0,0,,,0,0,18,0,0,,,0,0,12,1,0,,,0,0,303,0
1,4,0:00:08.670546,3,0,,,,,,,0,0,3,0,0,0,3,0,0,0,3,0,0,,,0,0,15,0,0,,,0,0,10,0,0,,,0,0,202,0
1,4,0:00:08.396130,4,1,,,,,,,0,1,8,1,0,3,6,1,0,1,8,1,1,,,0,1,26,0,1,,,0,1,13,4,0,,,0,0,933,1
1,4,0:00:07.595801,5,0,,,,,,,0,0,10,1,0,2,8,1,0,0,10,1,0,,,0,0,27,0,0,,,0,0,19,0,0,,,0,0,929,0
1,4,0:00:08.706210,6,5,,,,,,,0,5,10,1,1,3,10,0,0,1,12,1,5,,,0,5,30,0,5,,,0,5,11,0,0,,,0,0,1121,0
1,4,0:00:07.906054,7,0,,,,,,,0,0,5,1,0,1,4,1,0,0,5,1,0,,,0,0,32,0,0,,,0,0,15,0,0,,,0,0,1041,0
1,4,0:00:08.715018,8,1,,,,,,,0,1,4,1,0,1,4,1,0,0,5,1,1,,,0,1,15,0,1,,,0,1,4,0,2,,,0,2,810,0
1,4,0:00:08.628009,9,1,,,,,,,1,0,5,1,1,2,3,1,1,0,5,1,1,,,0,1,17,5,0,,,0,0,5,0,0,,,0,0,1297,0
1,4,0:00:08.542239,10,1,,,,,,,0,1,4,2,1,4,1,1,0,1,4,2,1,,,0,1,19,0,1,,,0,1,5,0,2,,,0,2,987,0
1,4,0:00:09.202863,11,0,,,,,,,0,0,5,0,0,0,5,0,0,0,5,0,0,,,0,0,12,0,1,,,0,1,1,0,4,,,0,4,393,0
1,4,0:00:09.148801,12,1,,,,,,,0,1,8,2,1,2,7,1,0,0,9,2,0,,,0,0,20,4,0,,,0,0,4,0,0,,,0,0,970,0
1,4,0:00:09.515119,13,0,,,,,,,0,0,7,0,0,0,7,0,0,0,7,0,1,,,0,1,14,0,1,,,0,1,1,0,0,,,0,0,519,0
1,4,0:00:10.027995,14,0,0.1,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.25,0.07692307692307693,0,0,6,2,0,1,5,2,0,0,6,2,0,0.0,0.0,0,0,10,6,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,786,0
1,5,0:00:08.084294,0,0,,,,,,,0,0,9,2,1,2,7,1,0,0,9,2,0,,,0,0,16,0,0,,,0,0,10,6,0,,,0,0,256,0
1,5,0:00:08.539479,1,1,,,,,,,0,1,4,0,0,2,3,0,0,1,4,0,1,,,0,1,9,0,1,,,0,1,2,3,0,,,0,0,84,0
1,5,0:00:08.783962,2,1,,,,,,,0,1,6,1,0,2,5,1,0,1,6,1,1,,,0,1,20,0,1,,,0,1,15,2,0,,,0,0,431,1
1,5,0:00:08.429210,3,0,,,,,,,0,0,4,0,0,0,4,0,0,0,4,0,0,,,0,0,13,0,0,,,0,0,6,1,0,,,0,0,237,0
1,5,0:00:08.697849,4,1,,,,,,,1,0,9,1,1,1,8,1,1,0,9,1,1,,,0,1,28,0,1,,,0,1,22,0,0,,,0,0,1155,0
1,5,0:00:08.762156,5,0,,,,,,,0,0,6,0,0,2,4,0,0,0,6,0,0,,,0,0,29,0,0,,,0,0,14,1,0,,,0,0,844,3
1,5,0:00:08.219611,6,0,,,,,,,0,0,9,3,0,2,7,3,0,0,9,3,0,,,0,0,31,1,0,,,0,0,10,0,0,,,0,0,1528,0
1,5,0:00:07.685484,7,0,,,,,,,0,0,11,1,0,1,10,1,0,0,11,1,0,,,0,0,31,0,0,,,0,0,9,0,0,,,0,0,1163,0
1,5,0:00:07.534320,8,1,,,,,,,0,1,6,1,0,1,6,1,0,1,6,1,1,,,0,1,25,1,1,,,0,1,10,0,0,,,0,0,1104,0
1,5,0:00:07.705514,9,0,,,,,,,0,0,5,2,0,0,5,2,0,0,5,2,0,,,0,0,21,6,0,,,0,0,6,0,0,,,0,0,898,0
1,5,0:00:09.014242,10,0,,,,,,,0,0,7,1,0,0,7,1,0,0,7,1,0,,,0,0,24,0,0,,,0,0,3,0,2,,,0,2,961,0
1,5,0:00:10.719400,11,0,,,,,,,0,0,10,1,0,1,9,1,0,0,10,1,0,,,0,0,26,1,0,,,0,0,5,0,0,,,0,0,1093,0
1,5,0:00:10.236382,12,1,,,,,,,1,0,3,0,1,0,3,0,0,0,3,1,0,,,0,0,13,10,0,,,0,0,1,0,0,,,0,0,755,0
1,5,0:00:10.033216,13,1,,,,,,,1,0,6,1,1,1,5,1,1,0,6,1,11,,,10,1,14,0,10,,,10,0,1,0,0,,,0,0,523,0
